item;alias;description;sessionuid;road;stretchs;pk;param1_brand;param2_model
1;ETD1;ETD1;ETD1;N-121A;N-121A C;25+900;ETD;Revenga
2;ETD2;ETD2;ETD2;N-121A;N-121A C;32+560;ETD;Revenga
3;ETD3;ETD3;ETD3;N-121A;N-121A C;41+789;ETD;Revenga
4;ETD4;ETD4;ETD4;N-121A;N-121A C;50+500;ETD;Revenga
5;ETD5;ETD5;ETD5;N-121A;N-121A C;60+230;ETD;Revenga
