item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;sentido;on_change_measure;param1_brand;param2_model
1;2;MDJS404L;MDJS404L;MDJS404L;D4;D4_3:Ketelec-Rovinca;;10+882;L;;Dilus;P2
2;1;MZJS496L;MZJS496L;MZJS496L;D4;D4_3:Ketelec-Rovinca;;12+367;L;;Dilus;P1
3;2;MDKD01L;MDKD01L;MDKD01L;R7;R7_2:Ketelec-Dunajská Lužná;;8+005;L;VmsTemp.groovy;Dilus;P2
4;1;MZKD02L;MZKD02L;MZKD02L;R7;R7_2:Ketelec-Dunajská Lužná;;11+556;L;;Dilus;P1
5;2;MDKD03L;MDKD03L;MDKD03L;R7;R7_2:Ketelec-Dunajská Lužná;;14+156;L;;Dilus;P2
6;1;MZDH01L;MZDH01L;MZDH01L;R7;R7_3:Dunajská Lužná-Šamorín;;17+562;L;VmsTemp.groovy;Dilus;P1
7;1;MZDH02L;MZDH02L;MZDH02L;R7;R7_4:Šamorín-Holice;;20+794;L;VmsTemp.groovy;Dilus;P1
8;1;MZDH03L;MZDH03L;MZDH03L;R7;R7_4:Šamorín-Holice;;30+337;L;VmsTemp.groovy;Dilus;P1
9;2;MDJS405P;MDJS405P;MDJS405P;D4;D4_4:Rovinka-Pod.Biskupice;;14+058;P;;Dilus;P2
10;2;MDJS406P;MDJS406P;MDJS406P;D4;D4_5:Pod.Biskupice-Ivanka západ;;16+964;P;;Dilus;P2
11;1;MZJS402P;MZJS402P;MZJS402P;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+838;P;;Dilus;P1
12;2;MDJS407P;MDJS407P;MDJS407P;D4;D4_5:Pod.Biskupice-Ivanka západ;;20+454;P;;Dilus;P2
13;1;MZJS496P;MZJS496P;MZJS496P;D4;D4_6:Ivanka západ-Ivanka sever;;23+852;P;;Dilus;P1
14;2;MDJS408P;MDJS408P;MDJS408P;D4;D4_6:Ivanka západ-Ivanka sever;;24+267;P;;Dilus;P2
15;2;MD247;MD247;MD247;D2;D2_1:Jarovce-Budapest;;72+503;-;;Dilus;P2
16;2;MDJS401L;MDJS401L;MDJS401L;D4;D4_1:Jarovce-Rusovce;;2+936;L;;Dilus;P2
17;1;MZJS499L;MZJS499L;MZJS499L;D4;D4_1:Jarovce-Rusovce;;3+705;L;;Dilus;P1
18;2;MDJS402;MDJS402;MDJS402;D4;D4_2:Rusovce-Ketelec;;5+144;-;;Dilus;P2
19;1;MZJS498;MZJS498;MZJS498;D4;D4_2:Rusovce-Ketelec;;5+776;-;;Dilus;P1
20;1;MZJS497;MZJS497;MZJS497;D4;D4_2:Rusovce-Ketelec;;6+238;-;;Dilus;P1
21;2;MDJS403;MDJS403;MDJS403;D4;D4_2:Rusovce-Ketelec;;7+554;-;;Dilus;P2
22;2;MDSR409L;MDSR409L;MDSR409L;D4;D4_8:Cierna voda-Raca;;27+111;L;;Dilus;P2
23;1;MZSR403P;MZSR403P;MZSR403P;D4;D4_8:Cierna voda-Raca;;29+006;P;;Dilus;P1
24;2;MDMP01;MDMP01;MDMP01;R7;R7_1:Prievoz-Ketelec;;0+175;-;;Dilus;P2
25;1;MZPK01L;MZPK01L;MZPK01L;R7;R7_1:Prievoz-Ketelec;;1+900;L;;Dilus;P1
26;2;MDPK02L;MDPK02L;MDPK02L;R7;R7_1:Prievoz-Ketelec;;4+781;L;;Dilus;P2
