item;alias;description;sessionuid;road;stretchs;pk;sentido;param2_entrance_tunnel_distance
1;TUN-SMF-RAV-1MA;TUN-SMF-RAV-1MA;TUN-SMF-RAV-1MA;Carretera Tunel;Carretera;172+517;MA;0
2;TUN-SMF-RAV-1CA;TUN-SMF-RAV-1CA;TUN-SMF-RAV-1CA;Carretera Tunel;Carretera;173+677;CA;0
