item;alias;description;sessionuid;road;stretchs;pk;sentido
1;LQ-SWS-1CA;LQ-SWS-1CA;LQ-SWS-1CA;Carretera Tunel;Carretera;173+626;CA
2;LQ-SWS-2CA;LQ-SWS-2CA;LQ-SWS-2CA;Carretera Tunel;Carretera;173+626;CA
3;LQ-SWS-3CA;LQ-SWS-3CA;LQ-SWS-3CA;Carretera Tunel;Carretera;172+435;CA
4;LQ-SWS-4CA;LQ-SWS-4CA;LQ-SWS-4CA;Carretera Tunel;Carretera;172+435;CA
5;LQ-SWS-5CA;LQ-SWS-5CA;LQ-SWS-5CA;Carretera Tunel;Carretera;172+434;CA
6;LQ-SWS-1MA;LQ-SWS-1MA;LQ-SWS-1MA;Carretera Tunel;Carretera;166+880;MA
7;LQ-SWS-2MA;LQ-SWS-2MA;LQ-SWS-2MA;Carretera Tunel;Carretera;172+655;MA
8;LQ-SWS-3MA;LQ-SWS-3MA;LQ-SWS-3MA;Carretera Tunel;Carretera;172+655;MA
9;LQ-SWS-4MA;LQ-SWS-4MA;LQ-SWS-4MA;Carretera Tunel;Carretera;172+734;MA
10;LQ-SWG-CA;LQ-SWG-CA;LQ-SWG-CA;Carretera Tunel;Carretera;173+626;CA
11;LQ-SWE-CA;LQ-SWE-CA;LQ-SWE-CA;Carretera Tunel;Carretera;173+626;CA
12;LQ-SWL;LQ-SWL;LQ-SWL;Carretera Tunel;Carretera;173+626;CA
13;LQ-SWE-MA;LQ-SWE-MA;LQ-SWE-MA;Carretera Tunel;Carretera;166+880;MA
