item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state
1;TUN-CT-CGBT-PULS-1;TUN-CT-CGBT-PULS-1;TUN-CT-CGBT-PULS-1;Carretera Tunel;Carretera;173+900;CA;
2;TUN-CT-ITS-PULS-1;TUN-CT-ITS-PULS-1;TUN-CT-ITS-PULS-1;Carretera Tunel;Carretera;173+900;CA;
3;TUN-CT-PCI-PULS-1;TUN-CT-PCI-PULS-1;TUN-CT-PCI-PULS-1;Carretera Tunel;Carretera;173+900;CA;
4;HOSP-PUL-L1-ORTH;HOSP-PUL-L1-ORTH;HOSP-PUL-L1-ORTH;Nicklaus Childrens Hospital;Hosp P1;;;
5;HOSP-PUL-L1-REH;HOSP-PUL-L1-REH;HOSP-PUL-L1-REH;Nicklaus Childrens Hospital;Hosp P1;;;
6;HOSP-PUL-L1-VAR;HOSP-PUL-L1-VAR;HOSP-PUL-L1-VAR;Nicklaus Childrens Hospital;Hosp P1;;;
7;HOSP-PUL-L1-ENT;HOSP-PUL-L1-ENT;HOSP-PUL-L1-ENT;Nicklaus Childrens Hospital;Hosp P1;;;
8;HOSP-PUL-L1-SPIC;HOSP-PUL-L1-SPIC;HOSP-PUL-L1-SPIC;Nicklaus Childrens Hospital;Hosp P1;;;
9;HOSP-PUL-L1-CENT;HOSP-PUL-L1-CENT;HOSP-PUL-L1-CENT;Nicklaus Childrens Hospital;Hosp P1;;;
10;HOSP-PUL-L1-TOW;HOSP-PUL-L1-TOW;HOSP-PUL-L1-TOW;Nicklaus Childrens Hospital;Hosp P1;;;
11;HOSP-PUL-L1-HEON;HOSP-PUL-L1-HEON;HOSP-PUL-L1-HEON;Nicklaus Childrens Hospital;Hosp P1;;;
12;HOSP-PUL-L1-RHE;HOSP-PUL-L1-RHE;HOSP-PUL-L1-RHE;Nicklaus Childrens Hospital;Hosp P1;;;
13;HOSP-PUL-L1-END;HOSP-PUL-L1-END;HOSP-PUL-L1-END;Nicklaus Childrens Hospital;Hosp P1;;;
14;HOSP-PUL-L1-OURE;HOSP-PUL-L1-OURE;HOSP-PUL-L1-OURE;Nicklaus Childrens Hospital;Hosp P1;;;
15;HOSP-PUL-L1-EME;HOSP-PUL-L1-EME;HOSP-PUL-L1-EME;Nicklaus Childrens Hospital;Hosp P1;;;
16;HOSP-PUL-L1-OUT1;HOSP-PUL-L1-OUT1;HOSP-PUL-L1-OUT1;Nicklaus Childrens Hospital;Hosp P1;;;
17;HOSP-PUL-L1-OUT2;HOSP-PUL-L1-OUT2;HOSP-PUL-L1-OUT2;Nicklaus Childrens Hospital;Hosp P1;;;
18;HOSP-PUL-L2-VAR;HOSP-PUL-L2-VAR;HOSP-PUL-L2-VAR;Nicklaus Childrens Hospital;Hosp P2;;;
19;HOSP-PUL-L2-MIN;HOSP-PUL-L2-MIN;HOSP-PUL-L2-MIN;Nicklaus Childrens Hospital;Hosp P2;;;
20;HOSP-PUL-L2-CENT1;HOSP-PUL-L2-CENT1;HOSP-PUL-L2-CENT1;Nicklaus Childrens Hospital;Hosp P2;;;
21;HOSP-PUL-L2-CENT2;HOSP-PUL-L2-CENT2;HOSP-PUL-L2-CENT2;Nicklaus Childrens Hospital;Hosp P2;;;
22;HOSP-PUL-L2-CENT3;HOSP-PUL-L2-CENT3;HOSP-PUL-L2-CENT3;Nicklaus Childrens Hospital;Hosp P2;;;
23;HOSP-PUL-L2-TOW;HOSP-PUL-L2-TOW;HOSP-PUL-L2-TOW;Nicklaus Childrens Hospital;Hosp P2;;;
24;HOSP-PUL-L2-GAS;HOSP-PUL-L2-GAS;HOSP-PUL-L2-GAS;Nicklaus Childrens Hospital;Hosp P2;;;
25;HOSP-PUL-L2-PED;HOSP-PUL-L2-PED;HOSP-PUL-L2-PED;Nicklaus Childrens Hospital;Hosp P2;;;
26;HOSP-PUL-L2-CAR;HOSP-PUL-L2-CAR;HOSP-PUL-L2-CAR;Nicklaus Childrens Hospital;Hosp P2;;;
27;HOSP-PUL-L3-CENT1;HOSP-PUL-L3-CENT1;HOSP-PUL-L3-CENT1;Nicklaus Childrens Hospital;Hosp P3;;;
28;HOSP-PUL-L3-CENT2;HOSP-PUL-L3-CENT2;HOSP-PUL-L3-CENT2;Nicklaus Childrens Hospital;Hosp P3;;;
29;HOSP-PUL-L3-CENT3;HOSP-PUL-L3-CENT3;HOSP-PUL-L3-CENT3;Nicklaus Childrens Hospital;Hosp P3;;;
30;HOSP-PUL-L3-TOW;HOSP-PUL-L3-TOW;HOSP-PUL-L3-TOW;Nicklaus Childrens Hospital;Hosp P3;;;
31;HOSP-PUL-L3-NEP;HOSP-PUL-L3-NEP;HOSP-PUL-L3-NEP;Nicklaus Childrens Hospital;Hosp P3;;;
32;HOSP-PUL-L3-NEU;HOSP-PUL-L3-NEU;HOSP-PUL-L3-NEU;Nicklaus Childrens Hospital;Hosp P3;;;
33;HOSP-PUL-L3-OUT;HOSP-PUL-L3-OUT;HOSP-PUL-L3-OUT;Nicklaus Childrens Hospital;Hosp P3;;;
