PLC_name;device_name;url_publisher;PLC_ip;port(i);offset_type(i);offset_grid_failure(i);offset_battery_failure(i);offset_charger_failure(i);offset_emergency_lamp_failure(i);offset_duration_failure(i);offset_system_failure(i);offset_comm_failure(i);offset_general_failure(i);offset_rest_mode(i);offset_normal_mode(i);offset_emergency_mode(i);offset_function_test(i);offset_duration_test(i);offset_dimming_level(i);offset_dimming_level_order(i);offset_off_order(i);offset_remote_order(i)
IDNG-MG-DP;LUMI-EMER-E1-4F-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;19908;19909;19909;19909;19909;19909;19909;19910;19911;19912;19912;19912;19912;19912;19913;9952;9955;9962
IDNG-MG-DP;LUMI-EMER-E1-44-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;19940;19941;19941;19941;19941;19941;19941;19942;19943;19944;19944;19944;19944;19944;19945;9968;9971;9978
IDNG-MG-DP;LUMI-EMER-E1-5F-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;19972;19973;19973;19973;19973;19973;19973;19974;19975;19976;19976;19976;19976;19976;19977;9984;9987;9994
IDNG-MG-DP;LUMI-EMER-E1-32-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;20004;20005;20005;20005;20005;20005;20005;20006;20007;20008;20008;20008;20008;20008;20009;10000;10003;10010
IDNG-MG-DP;LUMI-EMER-E1-33-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;20036;20037;20037;20037;20037;20037;20037;20038;20039;20040;20040;20040;20040;20040;20041;10016;10019;10026
IDNG-MG-DP;LUMI-EMER-E1-41-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;20068;20069;20069;20069;20069;20069;20069;20070;20071;20072;20072;20072;20072;20072;20073;10032;10035;10042
IDNG-MG-DP;LUMI-EMER-E1-3A-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;20100;20101;20101;20101;20101;20101;20101;20102;20103;20104;20104;20104;20104;20104;20105;10048;10051;10058
IDNG-MG-DP;LUMI-EMER-E1-25-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;20132;20133;20133;20133;20133;20133;20133;20134;20135;20136;20136;20136;20136;20136;20137;10064;10067;10074
IDNG-MG-DP;LUMI-EMER-E1-42-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;20164;20165;20165;20165;20165;20165;20165;20166;20167;20168;20168;20168;20168;20168;20169;10080;10083;10090
IDNG-MG-DP;LUMI-EMER-E1-2A-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;20196;20197;20197;20197;20197;20197;20197;20198;20199;20200;20200;20200;20200;20200;20201;10096;10099;10106
IDNG-MG-DP;LUMI-EMER-E1-68-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;20228;20229;20229;20229;20229;20229;20229;20230;20231;20232;20232;20232;20232;20232;20233;10112;10115;10122
IDNG-MG-DP;LUMI-EMER-E1-5B-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;20260;20261;20261;20261;20261;20261;20261;20262;20263;20264;20264;20264;20264;20264;20265;10128;10131;10138
IDNG-MG-DP;LUMI-EMER-E1-81-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;20292;20293;20293;20293;20293;20293;20293;20294;20295;20296;20296;20296;20296;20296;20297;10144;10147;10154
IDNG-MG-DP;LUMI-EMER-E1-28-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;20324;20325;20325;20325;20325;20325;20325;20326;20327;20328;20328;20328;20328;20328;20329;10160;10163;10170
IDNG-MG-DP;LUMI-EMER-E1-53-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;20356;20357;20357;20357;20357;20357;20357;20358;20359;20360;20360;20360;20360;20360;20361;10176;10179;10186
IDNG-MG-DP;LUMI-EMER-E1-4C-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;20388;20389;20389;20389;20389;20389;20389;20390;20391;20392;20392;20392;20392;20392;20393;10192;10195;10202
