device_name;url_publisher;source_name;host;port(i);offset_on_state(i);offset_off_state(i)
SMF-1-03-CA-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-CA;172.21.57.80;502;4;3
SMF-1-03-CA-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-CA;172.21.57.80;502;2;1
SMF-2-01-CA-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CA;172.21.57.70;502;4;3
SMF-2-01-CA-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CA;172.21.57.70;502;2;1
SMF-2-03-CZ-D;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CZ;172.21.17.80;502;531;530
SMF-2-03-CZ-I;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CZ;172.21.17.80;502;529;528
