device_name;url_publisher;source_name;host;port(i);offset_state(i)
INT-NUB-IZQ-2-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;69
INT-NOC-IZQ-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;70
INT-CREP-IZQ-1-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;71
INT-CREP-IZQ-2-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;72
INT-SOL-DER-1-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;73
INT-SOL-DER-2-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;74
INT-SOL-DER-3-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;75
INT-SOL-DER-4-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;76
INT-NUB-DER-1-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;77
INT-NUB-DER-2-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;78
INT-CREP-DER-1-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;79
INT-CREP-DER-2-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;80
INT-EXT-ENT-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;81
INT-EXT-SAL-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;82
INT-K01-CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;0
INT-F1-CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;1
INT-Q1-CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;2
INT-Q2-CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;3
INT-Q4-CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;4
INT-Q5-CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;5
INT-Q6-CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;6
INT-Q7-CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;7
INT-K02-CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;8
INT-Q3-CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;9
INT-Q8-CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;10
INT-Q9-CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;11
INT-F2-CGBT-DP4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;12
INT-Q1-SAI-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;93
INT-K01-SAI-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;92
INT-MANI-SAI-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;106
INT-CIRC-1A-ERU-SAI-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;94
INT-CIRC-1B-SAI-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;95
INT-SOS-SAI-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;96
INT-VOD-METEO-SAI-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;97
INT-BAL-SAI-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;98
INT-PMV-GA-SAI-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;104
INT-RED-FLUJO-SAI-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;102
INT-EMER-PERM-DER-SAI-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;103
INT-Q1-SAI-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;90
INT-K01-SAI-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;89
INT-CIC-1A-SAI-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;91
INT-CIRC-1-SAI-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;92
INT-CIRC-2-SAI-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;93
INT-CIRC-3-SAI-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;94
INT-RES-SAI-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;95
INT-RED-FLUJO-EMER-PERM-DER-SAI-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;96
INT-Q1-SAI-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;100
INT-K01-SAI-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;99
INT-CIRC-1B-SAI-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;101
INT-CIRC-2-DOMO-SAI-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;102
INT-CIRC-2B-SAI-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;103
INT-RED-FLUJO-EMER-PERM-DER-SAI-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;97
INT-ST-VENT-1-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-VEN-02-CZ;172.21.17.120;502;0
INT-VENT-1-01-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-VEN-02-CZ;172.21.17.120;502;3
INT-VENT-1-02-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-VEN-02-CZ;172.21.17.120;502;8
INT-ST-VENT-2-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-VEN-02-CZ;172.21.17.120;502;11
INT-VENT-1-03-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-VEN-02-CZ;172.21.17.120;502;14
INT-VENT-1-04-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-VEN-02-CZ;172.21.17.120;502;19
INT-ST-VENT-3-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-VEN-02-CZ;172.21.17.120;502;22
