device_name;PLC_name;PLC_ip;port(i);url_publisher;offset_fan_low_speed_state(i);offset_fan_high_speed_state(i);offset_grid_gate_clousure_state(i);offset_fan_activation_order(i);offset_grid_gate_clousure_order(i);offset_ventilation_gate_clousure_order(i)
PRES-GA1-N;ES-01-GA-1;172.21.49.60;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;0;2;7;514;519;517
PRES-GA1-S;ES-01-GA-1;172.21.49.60;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;1;3;6;512;518;516
PRES-GA2-N;ES-01-GA-2;172.21.41.70;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;0;2;7;514;519;517
PRES-GA2-S;ES-01-GA-2;172.21.41.70;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;1;3;6;512;518;516
PRES-GA3-N;ES-01-GA-3;172.21.25.80;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;0;2;7;514;519;517
PRES-GA3-S;ES-01-GA-3;172.21.25.80;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;1;3;6;512;518;516
PRES-GA4-N;ES-01-GA-4;172.21.33.60;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;0;2;7;514;519;517
PRES-GA4-S;ES-01-GA-4;172.21.33.60;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;1;3;6;512;518;516
