device_name;url_publisher;source_name;Power_source_name;host;port(i);offset_up_order(i);offset_up_state(i);offset_down_order(i);offset_down_state(i);offset_power_supply(i)
BA-1-01-DP-D;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;M-01-DP;172.21.33.90;502;592;288;593;289;596
BA-1-01-DP-I;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;M-01-DP;172.21.33.90;502;594;290;595;291;596
BA-2-01-DP-D;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;M-11-DP;172.21.49.90;502;576;264;577;265;580
BA-2-01-DP-I;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;M-11-DP;172.21.49.90;502;578;266;579;267;580
BA-1-01-CA-D;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-03-CA;ES-05-CA;172.21.57.80;502;515;3;516;4;527
BA-1-01-CA-I;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-03-CA;ES-03-CA;172.21.57.80;502;513;1;514;2;517
BA-2-01-CA-D;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-13-CA;ES-05-CA;172.21.57.92;502;512;1;513;2;526
BA-2-01-CA-I;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-13-CA;ES-05-CA;172.21.57.92;502;514;3;515;4;526
