device_name;url_publisher;source_name;host;port(i);offset_clearance_alarm_state(i)
GA-1-01-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-01-CA;172.21.57.10;502;0
GA-2-01-CZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-CZ;172.21.17.40;502;0
