device_name;PLC_name;PLC_ip;port(i);url_publisher;offset_co_concentration(i)
SCO-1-01-DP;ES-04-DP;172.21.41.30;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;1
SCO-1-02-DP;ES-06-DP;172.21.41.80;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;0
SCO-1-03-DP;ES-08-DP;172.21.33.20;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;1
SCO-1-04-DP;ES-10-DP;172.21.33.70;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;1
SCO-2-01-DP;ES-14-DP;172.21.25.30;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;1
SCO-2-02-DP;ES-16-DP;172.21.25.60;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;1
SCO-2-03-DP;ES-18-DP;172.21.49.20;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;1
SCO-2-04-DP;ES-20-DP;172.21.49.70;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;1
SCO-1-01-CZ;ES-02-CZ;172.21.17.20;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;1
SCO-2-01-CZ;ES-06-CZ;172.21.17.80;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;1
SCO-1-01-CA;CEN-GAS-1-01-CA;172.21.57.97;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;10
SCO-1-02-CA;CEN-GAS-1-01-CA;172.21.57.97;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;11
SCO-1-03-CA;CEN-GAS-1-02-CA;172.21.57.97;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;12
SCO-1-04-CA;CEN-GAS-1-02-CA;172.21.57.97;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;13
SCO-2-01-CA;CEN-GAS-02-CA;172.21.57.97;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;10
SCO-2-02-CA;CEN-GAS-02-CA;172.21.57.97;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;11
SCO-2-03-CA;CEN-GAS-02-CA;172.21.57.97;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;12
SCO-2-04-CA;CEN-GAS-02-CA;172.21.57.97;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;13
SCO-1-05-CA;ES-04-CA;172.21.57.40;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;1
SCO-2-05-CA;ES-06-CA;172.21.57.70;502;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;1
