device_name;url_publisher;source_name;host;port(i);offset_state(i);offset_manual(i)
CONT-NOC-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;570;168
CONT-CREP-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;571;170
CONT-EXT-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;572;172
CONT-REF-ILU-NOR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;573;174
CONT-SOL-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;565;158
CONT-NUB-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;566;160
CONT-NOC-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;567;162
CONT-CREP-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;568;164
CONT-EXT-ILU-SUR-2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;569;166
CONT-SOL-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;583;192
CONT-NUB-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;584;194
CONT-NOC-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;585;196
CONT-CREP-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;586;198
CONT-EXT-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;587;200
CONT-REF-ILU-SUR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;579;184
CONT-NOC-ILU-SUR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;580;186
CONT-CREP-ILU-SUR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;581;188
CONT-EXT-ILU-SUR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;582;200
CONT-SOL-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;514;21
CONT-NUB-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;515;23
CONT-NOC-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;516;25
CONT-CREP-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;517;27
CONT-EXT-ILU-SUR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;518;29
CONT-SOL-ILU-NOR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;519;31
CONT-NUB-ILU-NOR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;520;33
CONT-NOC-ILU-NOR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;521;35
CONT-CREP-ILU-NOR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;522;37
CONT-EXT-ILU-NOR-4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;523;39
CONT-SOL-ILU-NOR-1;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;519;42
CONT-NUB-ILU-NOR-1;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;520;44
CONT-NOC-ILU-NOR-1;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;521;46
CONT-CREP-ILU-NOR-1;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;522;48
CONT-EXT-ILU-NOR-1;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;523;50
