device_name;PLC_name;PLC_ip;port(i);url_publisher
AN-1-01-CA;CEN-GAS-1-01-CA;172.21.57.97;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/
AN-2-01-CA;CEN-GAS-2-01-CA;172.21.57.99;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/
