PLC_name;device_name;url_publisher;PLC_ip;port(i);offset_type(i);offset_grid_failure(i);offset_battery_failure(i);offset_charger_failure(i);offset_emergency_lamp_failure(i);offset_duration_failure(i);offset_system_failure(i);offset_comm_failure(i);offset_general_failure(i);offset_rest_mode(i);offset_normal_mode(i);offset_emergency_mode(i);offset_function_test(i);offset_duration_test(i);offset_dimming_level(i);offset_dimming_level_order(i);offset_off_order(i);offset_remote_order(i)
IDNG-MG-DP;LUMI-EMER-E1-01-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24004;24005;24005;24005;24005;24005;24005;24006;24007;24008;24008;24008;24008;24008;24009;12000;12003;12010
IDNG-MG-DP;LUMI-EMER-E0-EB-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24036;24037;24037;24037;24037;24037;24037;24038;24039;24040;24040;24040;24040;24040;24041;12016;12019;12026
IDNG-MG-DP;LUMI-EMER-E0-F6-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24068;24069;24069;24069;24069;24069;24069;24070;24071;24072;24072;24072;24072;24072;24073;12032;12035;12042
IDNG-MG-DP;LUMI-EMER-E0-ED-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24100;24101;24101;24101;24101;24101;24101;24102;24103;24104;24104;24104;24104;24104;24105;12048;12051;12058
IDNG-MG-DP;LUMI-EMER-E0-FC-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24132;24133;24133;24133;24133;24133;24133;24134;24135;24136;24136;24136;24136;24136;24137;12064;12067;12074
IDNG-MG-DP;LUMI-EMER-E0-FD-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24164;24165;24165;24165;24165;24165;24165;24166;24167;24168;24168;24168;24168;24168;24169;12080;12083;12090
IDNG-MG-DP;LUMI-EMER-E0-EC-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24196;24197;24197;24197;24197;24197;24197;24198;24199;24200;24200;24200;24200;24200;24201;12096;12099;12106
IDNG-MG-DP;LUMI-EMER-E0-C1-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24228;24229;24229;24229;24229;24229;24229;24230;24231;24232;24232;24232;24232;24232;24233;12112;12115;12122
IDNG-MG-DP;LUMI-EMER-E0-C2-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24260;24261;24261;24261;24261;24261;24261;24262;24263;24264;24264;24264;24264;24264;24265;12128;12131;12138
IDNG-MG-DP;LUMI-EMER-E0-C3-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24292;24293;24293;24293;24293;24293;24293;24294;24295;24296;24296;24296;24296;24296;24297;12144;12147;12154
IDNG-MG-DP;LUMI-EMER-E0-E9-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24324;24325;24325;24325;24325;24325;24325;24326;24327;24328;24328;24328;24328;24328;24329;12160;12163;12170
IDNG-MG-DP;LUMI-EMER-E0-C4-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24356;24357;24357;24357;24357;24357;24357;24358;24359;24360;24360;24360;24360;24360;24361;12176;12179;12186
IDNG-MG-DP;LUMI-EMER-E0-F7-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24388;24389;24389;24389;24389;24389;24389;24390;24391;24392;24392;24392;24392;24392;24393;12192;12195;12202
IDNG-MG-DP;LUMI-EMER-E0-BB-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24420;24421;24421;24421;24421;24421;24421;24422;24423;24424;24424;24424;24424;24424;24425;12208;12211;12218
IDNG-MG-DP;LUMI-EMER-E0-BD-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24452;24453;24453;24453;24453;24453;24453;24454;24455;24456;24456;24456;24456;24456;24457;12224;12227;12234
IDNG-MG-DP;LUMI-EMER-E0-BC-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24484;24485;24485;24485;24485;24485;24485;24486;24487;24488;24488;24488;24488;24488;24489;12240;12243;12250
IDNG-MG-DP;LUMI-EMER-E0-C0-DPZ;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;172.21.03.223;502;24516;24517;24517;24517;24517;24517;24517;24518;24519;24520;24520;24520;24520;24520;24521;12256;12259;12266
