device_name;url_publisher;source_name;host;port(i);offset_state(i)
INT-SOL-IZQ-2-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;214
INT-SOL-IZQ-3-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;215
INT-SOL-IZQ-4-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;216
INT-NUB-IZQ-1-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;217
INT-NUB-IZQ-2-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;218
INT-NUB-IZQ-3-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;219
INT-NOC-IZQ-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;220
INT-CREP-IZQ-1-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;221
INT-CREP-IZQ-2-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;222
INT-CREP-IZQ-3-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;223
INT-SOL-DER-1-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;224
INT-SOL-DER-2-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;225
INT-SOL-DER-3-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;226
INT-SOL-DER-4-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;227
INT-NUB-DER-1-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;228
INT-NUB-DER-2-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;229
INT-NUB-DER-3-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;230
INT-CREP-DER-1-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;231
INT-CREP-DER-2-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;232
INT-CREP-DER-3-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;233
INT-EXT-ILU-NOR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;234
INT-Q26-ILU-SUR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;235
INT-K01-ILU-SUR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;237
INT-MANI-ILU-SUR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;236
INT-CREP-IZQ-ILU-SUR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;202
INT-NOC-IZQ-1-ILU-SUR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;203
INT-NOC-IZQ-2-ILU-SUR-3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;204
