device_name;PLC_name;PLC_ip;port(i);url_publisher
AN-1-01-DP;ES-04-DP;172.21.41.30;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/
AN-1-02-DP;ES-06-DP;172.21.41.80;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/
AN-1-03-DP;ES-08-DP;172.21.33.20;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/
AN-1-04-DP;ES-10-DP;172.21.33.70;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/
AN-2-01-DP;ES-14-DP;172.21.25.30;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/
AN-2-02-DP;ES-16-DP;172.21.25.60;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/
AN-2-03-DP;ES-18-DP;172.21.49.20;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/
AN-2-04-DP;ES-20-DP;172.21.49.70;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/
AN-1-01-CZ;ES-VEN-01-CZ;172.21.17.110;502;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/
