device_name;url_publisher;source_name;host;port(i);offset_state(i)
INT-Q1-GEN-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;0
INT-K01-GEN-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;1
INT-F1-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;2
INT-K01-RED-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;3
INT-PROT-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;4
INT-Q1-RED-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;5
INT-Q2-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;6
INT-Q4-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;7
INT-Q5-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;8
INT-Q6-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;9
INT-Q7-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;10
INT-K02-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;11
INT-Q3-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;12
INT-Q8-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;13
INT-Q9-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;14
INT-F4-CGBT-DP1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;15
INT-Q1-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;89
INT-K02-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;90
INT-MANI-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;91
INT-SOL-IZQ-1-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;63
INT-SOL-IZQ-2-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;64
INT-SOL-IZQ-3-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;65
INT-SOL-IZQ-4-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;66
INT-NUB-IZQ-1-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;67
INT-NUB-IZQ-2-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;68
INT-NUB-IZQ-3-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;69
INT-NOC-IZQ-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;70
INT-CREP-IZQ-1-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;71
INT-CREP-IZQ-2-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;72
INT-CREP-IZQ-3-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;73
INT-SOL-DER-1-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;74
INT-SOL-DER-2-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;75
INT-SOL-DER-3-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;76
INT-SOL-DER-4-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;77
INT-NUB-DER-1-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;78
INT-NUB-DER-2-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;79
INT-NUB-DER-3-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;80
INT-CREP-DER-1-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;81
INT-CREP-DER-2-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;82
INT-CREP-DER-3-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;83
INT-EXT-ENT-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;84
INT-EXT-SAL-ILU-NOR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CZ;172.21.17.90;502;85
INT-Q1-ILU-SUR-1;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-07-CZ;172.21.17.100;502;21
