device_name;url_publisher;source_name;host;port(i);offset_state(i)
INT-VENT-2-08-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;19
INT-VENT-2-09-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;20
INT-VENT-2-10-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;21
INT-VENT-3-15-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;22
INT-VENT-3-16-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;23
INT-VENT-3-17-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;24
INT-VENT-3-18-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;25
INT-VENT-3-19-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;26
INT-VENT-3-20-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;27
INT-VENT-3-21-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;28
INT-VENT-3-22-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;29
INT-VENT-3-23-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;30
INT-VENT-3-24-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;31
INT-VENT-3-25-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;32
INT-VENT-3-26-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;33
INT-F42-F43-D1-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;34
INT-F44-F45-D2-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;36
INT-F46-F47-D3-CGBT-DP2;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-11-DP;172.21.33.90;502;38
INT-Q1-GEN-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;0
INT-K01-GEN-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;1
INT-F1-A-TRAFO-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;2
INT-Q2-GEN-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;3
INT-K02-GEN-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;4
