device_name;url_publisher;ip;endpoint
SWP-1-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.47.10;'http://172.21.47.10'
SWP-1-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.47.20;'http://172.21.47.20'
SWP-1-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.47.30;'http://172.21.47.30'
SWP-1-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.47.40;'http://172.21.47.40'
SWP-1-05-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.47.50;'http://172.21.47.50'
SWP-1-06-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.47.60;'http://172.21.47.60'
SWP-1-07-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.47.80;'http://172.21.47.80'
SWP-1-08-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.39.10;'http://172.21.39.10'
SWP-1-09-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.39.20;'http://172.21.39.20'
SWP-1-10-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.39.30;'http://172.21.39.30'
SWP-1-11-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.39.40;'http://172.21.39.40'
SWP-1-12-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.39.50;'http://172.21.39.50'
SWP-1-13-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.39.70;'http://172.21.39.70'
SWP-1-14-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.39.80;'http://172.21.39.80'
SWP-1-15-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.39.90;'http://172.21.39.90'
SWP-1-16-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.39.100;'http://172.21.39.100'
SWP-1-17-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.47.90;'http://172.21.47.90'
SWP-1-18-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.47.100;'http://172.21.47.100'
SWP-2-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.31.90;'http://172.21.31.90'
SWP-2-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.31.10;'http://172.21.31.10'
SWP-2-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.31.20;'http://172.21.31.20'
SWP-2-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.31.30;'http://172.21.31.30'
SWP-2-05-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.31.40;'http://172.21.31.40'
SWP-2-06-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.31.50;'http://172.21.31.50'
SWP-2-07-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.31.60;'http://172.21.31.60'
SWP-2-08-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.31.70;'http://172.21.31.70'
SWP-2-09-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.55.10;'http://172.21.55.10'
SWP-2-10-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.55.20;'http://172.21.55.20'
SWP-2-11-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.55.30;'http://172.21.55.30'
SWP-2-12-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.55.40;'http://172.21.55.40'
SWP-2-13-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.55.50;'http://172.21.55.50'
SWP-2-14-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.55.70;'http://172.21.55.70'
SWP-2-15-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.55.80;'http://172.21.55.80'
SWP-2-16-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.55.90;'http://172.21.55.90'
SWP-2-17-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.55.100;'http://172.21.55.100'
SWP-2-18-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.31.100;'http://172.21.31.100'
SWP-1-01-GA1;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.55.60;'http://172.21.55.60'
SWP-1-01-GA2;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.47.70;'http://172.21.47.70'
SWP-1-01-GA3;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.31.80;'http://172.21.31.80'
SWP-1-01-GA4;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.39.60;'http://172.21.39.60'
SWP-1-01-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.63.10;'http://172.21.63.10'
SWP-1-02-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.63.20;'http://172.21.63.20'
SWP-1-03-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.63.30;'http://172.21.63.30'
SWP-1-04-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.63.40;'http://172.21.63.40'
SWP-1-05-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.63.50;'http://172.21.63.50'
SWP-2-01-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.63.60;'http://172.21.63.60'
SWP-2-02-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;172.21.63.70;'http://172.21.63.70'
