synoptic_alias;alias;parent_alias;id_element_type;id_element_subtype;module_action_id
SYNOPTIC_CH_CT_PLANO;LAYER_CT;;55;;
SYNOPTIC_CH_CT_PLANO;LAYER_GE;;75;;
SYNOPTIC_CH_COMMS;LAYER_MEG;;;;
SYNOPTIC_CH_COMMS;LAYER_MEG_CENTRAL;LAYER_MEG;5;;
SYNOPTIC_CH_COMMS;LAYER_MEG_ZONE;LAYER_MEG;16;;
SYNOPTIC_CH_COMMS;LAYER_MEG_RADIO;LAYER_MEG;30;;
SYNOPTIC_CH_COMMS;LAYER_COMMS;;;;
SYNOPTIC_CH_COMMS;LAYER_COMMS_SOS;LAYER_COMMS;11;;
SYNOPTIC_CH_COMMS;LAYER_COMMS_SWITCH;LAYER_COMMS;26;;
SYNOPTIC_CH_COMMS;LAYER_COMMS_PLC;LAYER_COMMS;27;;
SYNOPTIC_CH_COMMS;LAYER_COMMS_ERU;LAYER_COMMS;74;;
SYNOPTIC_CH_COMMS;LAYER_DAI;;;;
SYNOPTIC_CH_COMMS;LAYER_DAI_NAS;LAYER_DAI;28;;
SYNOPTIC_CH_COMMS;LAYER_DAI_SERVER;LAYER_DAI;52;;
SYNOPTIC_CH_TRAFFIC_CONTROL;LAYER_ACCESS_CTRL;;;;
SYNOPTIC_CH_TRAFFIC_CONTROL;LAYER_ACCESS_CTRL_CAMERA;LAYER_ACCESS_CTRL;2;;
SYNOPTIC_CH_TRAFFIC_CONTROL;LAYER_ACCESS_CTRL_BAR;LAYER_ACCESS_CTRL;8;;
SYNOPTIC_CH_TRAFFIC_CONTROL;LAYER_ACCESS_CTRL_SEM_3_GROUPS;LAYER_ACCESS_CTRL;13;;
SYNOPTIC_CH_TRAFFIC_CONTROL;LAYER_ACCESS_CTRL_SEM_2_GROUPS;LAYER_ACCESS_CTRL;53;;
SYNOPTIC_CH_TRAFFIC_CONTROL;LAYER_ACCESS_CTRL_PMV;LAYER_ACCESS_CTRL;71;;
SYNOPTIC_CH_TRAFFIC_CONTROL;LAYER_TRAFFIC;;;;
SYNOPTIC_CH_TRAFFIC_CONTROL;LAYER_TRAFFIC_SECTIONS;LAYER_TRAFFIC;4;;
SYNOPTIC_CH_TRAFFIC_CONTROL;LAYER_TRAFFIC_ETD;LAYER_TRAFFIC;51;;
SYNOPTIC_CH_TRAFFIC_CONTROL;LAYER_WEATHER;;;;
SYNOPTIC_CH_TRAFFIC_CONTROL;LAYER_WEATHER_WS;LAYER_TRAFFIC;1;;
SYNOPTIC_CH_ENERGY;LAYER_PCI;;;;
SYNOPTIC_CH_ENERGY;LAYER_PCI_TANK;LAYER_PCI;87;;
SYNOPTIC_CH_ENERGY;LAYER_PCI_TRANSFER_GROUP;LAYER_PCI;93;;
SYNOPTIC_CH_ENERGY;LAYER_ELECTRICITY;;;;
SYNOPTIC_CH_ENERGY;LAYER_ELECTRICITY_TRAFO;LAYER_ELECTRICITY;33;;
SYNOPTIC_CH_ENERGY;LAYER_ELECTRICITY_UF;LAYER_ELECTRICITY;56;;
SYNOPTIC_CH_ENERGY;LAYER_ELECTRICITY_MAGDIG;LAYER_ELECTRICITY;57;;
SYNOPTIC_CH_ENERGY;LAYER_ELECTRICITY_SAI;LAYER_ELECTRICITY;65;;
SYNOPTIC_CH_ENERGY;LAYER_ELECTRICITY_NETWORK_ANALYZER;LAYER_ELECTRICITY;70;;
SYNOPTIC_CH_ENERGY;LAYER_ELECTRICITY_GE;LAYER_ELECTRICITY;75;;
SYNOPTIC_CH_GENERAL;LAYER_COMMS_SOS;;11;;
SYNOPTIC_CH_GENERAL;LAYER_CT;;55;;
SYNOPTIC_CH_GENERAL;LAYER_ACCESS_CTRL;;;;
SYNOPTIC_CH_GENERAL;LAYER_ACCESS_CTRL_CAMERA;LAYER_ACCESS_CTRL;2;;
SYNOPTIC_CH_GENERAL;LAYER_ACCESS_CTRL_BAR;LAYER_ACCESS_CTRL;8;;
SYNOPTIC_CH_GENERAL;LAYER_ACCESS_CTRL_SEM_3_GROUPS;LAYER_ACCESS_CTRL;13;;
SYNOPTIC_CH_GENERAL;LAYER_ACCESS_CTRL_SEM_2_GROUPS;LAYER_ACCESS_CTRL;53;;
SYNOPTIC_CH_GENERAL;LAYER_ACCESS_CTRL_PMV;LAYER_ACCESS_CTRL;71;;
SYNOPTIC_CH_GENERAL;LAYER_TRAFFIC;;;;
SYNOPTIC_CH_GENERAL;LAYER_TRAFFIC_SECTIONS;LAYER_TRAFFIC;4;;
SYNOPTIC_CH_GENERAL;LAYER_TRAFFIC_ETD;LAYER_TRAFFIC;51;;
SYNOPTIC_CH_GENERAL;LAYER_WEATHER_WS;;1;;
SYNOPTIC_CH_GENERAL;LAYER_FIRE_DET;;;;
SYNOPTIC_CH_GENERAL;LAYER_FIRE_DET_ZONES;LAYER_FIRE_DET;15;;
SYNOPTIC_CH_GENERAL;LAYER_FIRE_DET_PRESS;LAYER_FIRE_DET;32;;
SYNOPTIC_CH_GENERAL;LAYER_FIRE_DET_DOOR;LAYER_FIRE_DET;89;;
SYNOPTIC_CH_GENERAL;LAYER_ELECTRICITY;;;;
SYNOPTIC_CH_GENERAL;LAYER_ELECTRICITY_SAI;LAYER_ELECTRICITY;65;;
SYNOPTIC_CH_GENERAL;LAYER_ELECTRICITY_NETWORK_ANALYZER;LAYER_ELECTRICITY;70;;
SYNOPTIC_CH_GENERAL;LAYER_ELECTRICITY_GE;LAYER_ELECTRICITY;75;;
SYNOPTIC_CH_GENERAL;LAYER_VENTILATION;;;;
SYNOPTIC_CH_GENERAL;LAYER_VENTILATION_FAN;LAYER_VENTILATION;9;;
SYNOPTIC_CH_GENERAL;LAYER_VENTILATION_ANEMOMETER;LAYER_VENTILATION;18;;
SYNOPTIC_CH_GENERAL;LAYER_VENTILATION_CO;LAYER_VENTILATION;19;;
SYNOPTIC_CH_GENERAL;LAYER_VENTILATION_NO;LAYER_VENTILATION;20;;
SYNOPTIC_CH_GENERAL;LAYER_VENTILATION_OPAC;LAYER_VENTILATION;21;;
SYNOPTIC_CH_GENERAL;LAYER_VENTILATION_VANE;LAYER_VENTILATION;66;;
SYNOPTIC_CH_GENERAL;LAYER_ILLUMINATION;;;;
SYNOPTIC_CH_GENERAL;LAYER_ILLUMINATION_LUX;LAYER_ILLUMINATION;12;;
SYNOPTIC_CH_GENERAL;LAYER_ILLUMINATION_LUM;LAYER_ILLUMINATION;14;;
SYNOPTIC_CH_GENERAL;LAYER_ILLUMINATION_PHO;LAYER_ILLUMINATION;31;;
SYNOPTIC_CAS_CT_PLANO;LAYER_CT;;55;;
SYNOPTIC_CAS_CT_PLANO;LAYER_GE;;75;;
SYNOPTIC_COR_CT_PLANO;LAYER_CT;;55;;
SYNOPTIC_COR_CT_PLANO;LAYER_GE;;75;;
SYNOPTIC_EST_CT_PLANO;LAYER_CT;;55;;
SYNOPTIC_EST_CT_PLANO;LAYER_GE;;75;;
SYNOPTIC_LQ_CT_PLANO;LAYER_CT;;55;;
SYNOPTIC_LQ_CT_PLANO;LAYER_GE;;75;;
SYNOPTIC_MM_CT_PLANO;LAYER_CT;;55;;
SYNOPTIC_MM_CT_PLANO;LAYER_GE;;75;;
SYNOPTIC_NG_CT_PLANO;LAYER_CT;;55;;
SYNOPTIC_NG_CT_PLANO;LAYER_GE;;75;;
SYNOPTIC_RV_CT_PLANO;LAYER_CT;;55;;
SYNOPTIC_RV_CT_PLANO;LAYER_GE;;75;;
SYNOPTIC_STM2_CT_PLANO;LAYER_CT;;55;;
SYNOPTIC_STM2_CT_PLANO;LAYER_GE;;75;;
SYNOPTIC_STMI_CT_PLANO;LAYER_CT;;55;;
SYNOPTIC_STMI_CT_PLANO;LAYER_GE;;75;;
