element_type;element_subtype;alias;svg_file;js_custom_type_render;keepRatio;
1;3;ELEMENT_TYPE_WEATHER_STATION;01_weather_station.svg;;true;
2;1;ELEMENT_TYPE_CAMERA;02_camera_domo.svg;;true;
2;2;ELEMENT_TYPE_CAMERA;02_camera.svg;;true;
3;;ELEMENT_TYPE_DETECTOR;03_detector.svg;;true;
4;2;ELEMENT_TYPE_SECTION;04_section.svg;;true;
5;1;ELEMENT_TYPE_PA_SYSTEM;05_pa_system.svg;;true;
8;2;ELEMENT_TYPE_BARRIER;08_barrier.svg;;true;
9;1;ELEMENT_TYPE_JETFAN;09_jetfan.svg;;true;
11;1;ELEMENT_TYPE_SOS;11_sos.svg;;true;
12;;ELEMENT_TYPE_LUX;12_lux.svg;;true;
13;;ELEMENT_TYPE_SEM;13_sem_3_grupos.svg;;true;
14;;ELEMENT_TYPE_LUM;14_lum.svg;;true;
15;;ELEMENT_TYPE_FIRE_DET;15_fire.svg;;true;
16;;ELEMENT_TYPE_PA_ZONE;16_pa_zone_width.svg;;false;
18;;ELEMENT_TYPE_ANEM_INT;18_anemometro.svg;;true;
19;;ELEMENT_TYPE_CO;19_co.svg;;true;
20;;ELEMENT_TYPE_NO;20_no.svg;;true;
21;;ELEMENT_TYPE_OPAC;21_opac.svg;;true;
22;;ELEMENT_TYPE_VALVULAS;22_valculas.svg;;true;
26;;ELEMENT_TYPE_SWITCH_COMM;26_switch.svg;;true;
27;2;ELEMENT_TYPE_PLC;27_plc.svg;;true;
28;;ELEMENT_TYPE_NAS;28_nas.svg;;true;
29;;ELEMENT_TYPE_FIBROLASER_CT;29_fibrolaser_ct.svg;;true;
30;;ELEMENT_TYPE_RADIO;30_radio.svg;;true;
31;;ELEMENT_TYPE_PHOTOCELL;31_pho.svg;;true;
32;2;ELEMENT_TYPE_PRESURIZACION;32_presurizacion_vent.svg;;true;
33;;ELEMENT_TYPE_TRAFO;33_trafo.svg;;true;
51;;ELEMENT_TYPE_ETD;51_etd.svg;;true;
52;;ELEMENT_TYPE_DAI_SERVER;52_dai_server.svg;;true;
53;1;ELEMENT_TYPE_SEM_2_LUCES;53_sem_2_grupos.svg;;true;
53;2;ELEMENT_TYPE_SEM_2_LUCES;53_sem_2_grupos.svg;;true;
55;2;ELEMENT_TYPE_CT;55_ct.svg;;true;
56;;ELEMENT_TYPE_UNIFILAR;56_unifilar.svg;;true;
57;;ELEMENT_TYPE_INTERRUPTOR;57_switch.svg;;true;
58;;ELEMENT_TYPE_PULSADOR;58_pulsador.svg;;true;
59;;ELEMENT_TYPE_SMOKE_DETECTOR;59_smoke_detector.svg;;true;
60;;ELEMENT_TYPE_SIRENA;60_sirena.svg;;true;
65;;ELEMENT_TYPE_SAI;65_sai.svg;;true;
66;1;ELEMENT_TYPE_VANE;66_vane.svg;;true;
70;1;ELEMENT_TYPE_ANALIZADOR_RED;70_analizador_red.svg;;true;
71;18;ELEMENT_TYPE_PANEL;71_vms_dgt_gr_txt.svg;;true;
71;22;ELEMENT_TYPE_PANEL;71_vms_dgt_gr_txt.svg;;true;
74;;ELEMENT_TYPE_ERU;74_eru.svg;;true;
75;1;ELEMENT_TYPE_GE;75_ge.svg;;true;
75;4;ELEMENT_TYPE_GE;75_ge.svg;;true;
84;;ELEMENT_TYPE_LIGHTING_CIRCUIT;84_switch.svg;;true;
85;;ELEMENT_TYPE_DALI;85_bus_dali.svg;;true;
86;;ELEMENT_TYPE_PUMP;86_pump.svg;;true;
87;;ELEMENT_TYPE_TANK;87_tank.svg;;true;
88;;ELEMENT_TYPE_LEAK_WATER_SENSOR;88_leak_water_sensor.svg;;true;
89;;ELEMENT_TYPE_GATE;89_gate.svg;;true;
93;;ELEMENT_TYPE_TRANSFER_GROUP;93_transfer_group.svg;;true;
