item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-SAI-1;RV-SAI-1;RV-SAI-1;AP7 - AUSOL I;RV-TUNEL;177+329;CA
2;MM-SAI-1;MM-SAI-1;MM-SAI-1;AP7 - AUSOL I;MM-TUNEL;160+329;CA
3;STMI-SAI-1;STMI-SAI-1;STMI-SAI-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA
4;LQ-SAI-1;LQ-SAI-1;LQ-SAI-1;AP7 - AUSOL I;LQ-TUNEL;173+655;CA
5;CH-SAI-1;CH-SAI-1;CH-SAI-1;AP7 - AUSOL I;CH-TUNEL;13+825;CA
6;CAS-SAI-BM;CAS-SAI-BM;CAS-SAI-BM;AP7 - AUSOL II;CAS-TUNEL;147+535;MA
7;CAS-SAI-BC;CAS-SAI-BC;CAS-SAI-BC;AP7 - AUSOL II;CAS-TUNEL;146+655;CA
8;COR-SAI-BC;COR-SAI-BC;COR-SAI-BC;AP7 - AUSOL II;COR-TUNEL;152+000;CA
9;COR-SAI-BM;COR-SAI-BM;COR-SAI-BM;AP7 - AUSOL II;COR-TUNEL;151+225;MA
10;STM2-SAI-BC;STM2-SAI-BC;STM2-SAI-BC;AP7 - AUSOL II;STMII-TUNEL;150+787;CA
11;EST-SAI-1;EST-SAI-1;EST-SAI-1;AP7 - AUSOL II;EST-TUNEL;177+329;CA
12;NG-SAI-1BM;NG-SAI-1BM;NG-SAI-1BM;AP7 - AUSOL I;NG-TUNEL;177+175;MA
