item;alias;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model;param3_asociated_cabinet
1;Pohybove_cidlo_1;Pohybove_cidlo_1;D4;D4_2:Rusovce-Ketelec;;4,76;-;;;RAIDJSKD01
2;Pohybove_cidlo_2;Pohybove_cidlo_2;D4;D4_2:Rusovce-Ketelec;;4,76;-;;;RAIDJSKD09
3;Pohybove_cidlo_3;Pohybove_cidlo_3;D4;D4_2:Rusovce-Ketelec;;5,484;-;;;RAIDJSKD10
4;Pohybove_cidlo_4;Pohybove_cidlo_4;D4;D4_2:Rusovce-Ketelec;;5,907;-;;;RAIDJSKD13
5;Pohybove_cidlo_5;Pohybove_cidlo_5;D4;D4_2:Rusovce-Ketelec;;6,013;-;;;RAIDJSKD14
6;Pohybove_cidlo_6;Pohybove_cidlo_6;D4;D4_2:Rusovce-Ketelec;;6,334;-;;;RAIDJSKD17
7;Pohybove_cidlo_7;Pohybove_cidlo_7;D4;D4_2:Rusovce-Ketelec;;6,441;-;;;RAIDJSKD18
8;Pohybove_cidlo_8;Pohybove_cidlo_8;D4;D4_2:Rusovce-Ketelec;;7,656;-;;;RAIDJSKD30
