item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model
1;RNRKD01L;RNRKD01L;RNRKD01L;R7;R7_2:Ketelec-Dunajská Lužná;;6+347;L;SCHNEIDER; TM241CE40T
2;RNRKD03L;RNRKD03L;RNRKD03L;R7;R7_2:Ketelec-Dunajská Lužná;;7+217;L;SCHNEIDER; TM241CE40T
3;RNRKD08L;RNRKD08L;RNRKD08L;R7;R7_2:Ketelec-Dunajská Lužná;;8+767;L;SCHNEIDER; TM241CE40T
4;RNRKD09L;RNRKD09L;RNRKD09L;R7;R7_2:Ketelec-Dunajská Lužná;;10+557;L;SCHNEIDER; TM241CE40T
5;RNRKD10L;RNRKD10L;RNRKD10L;R7;R7_2:Ketelec-Dunajská Lužná;;12+359;L;SCHNEIDER; TM241CE40T
6;RNRKD11L;RNRKD11L;RNRKD11L;R7;R7_2:Ketelec-Dunajská Lužná;;14+157;L;SCHNEIDER; TM241CE40T
7;RNRJS19P;RNRJS19P;RNRJS19P;D4;D4_3:Ketelec-Rovinca;;9+176;P;SCHNEIDER; TM241CE40T
8;SCJS04P;SCJS04P;SCJS04P;D4;D4_3:Ketelec-Rovinca;;9+272;P;SCHNEIDER; TM241CE40T
9;RNRJS22P;RNRJS22P;RNRJS22P;D4;D4_3:Ketelec-Rovinca;;9+982;P;SCHNEIDER; TM241CE40T
10;RNRJS23P;RNRJS23P;RNRJS23P;D4;D4_3:Ketelec-Rovinca;;10+328;P;SCHNEIDER; TM241CE40T
11;RNRJS24P;RNRJS24P;RNRJS24P;D4;D4_3:Ketelec-Rovinca;;10+901;P;SCHNEIDER; TM241CE40T
12;RNRJS25P;RNRJS25P;RNRJS25P;D4;D4_3:Ketelec-Rovinca;;11+101;P;SCHNEIDER; TM241CE40T
13;RNRJS26P;RNRJS26P;RNRJS26P;D4;D4_3:Ketelec-Rovinca;;11+892;P;SCHNEIDER; TM241CE40T
14;RNRJS27L;RNRJS27L;RNRJS27L;D4;D4_3:Ketelec-Rovinca;;12+095;L;SCHNEIDER; TM241CE40T
15;RNRJS28P;RNRJS28P;RNRJS28P;D4;D4_3:Ketelec-Rovinca;;12+736;P;SCHNEIDER; TM241CE40T
16;RNRJS29P;RNRJS29P;RNRJS29P;D4;D4_4:Rovinka-Pod.Biskupice;;13+316;P;SCHNEIDER; TM241CE40T
17;RNRJS30P;RNRJS30P;RNRJS30P;D4;D4_4:Rovinka-Pod.Biskupice;;14+062;P;SCHNEIDER; TM241CE40T
18;RNRJS31P;RNRJS31P;RNRJS31P;D4;D4_4:Rovinka-Pod.Biskupice;;14+498;P;SCHNEIDER; TM241CE40T
19;RNRJS32P;RNRJS32P;RNRJS32P;D4;D4_4:Rovinka-Pod.Biskupice;;15+274;P;SCHNEIDER; TM241CE40T
20;RNRJS33P;RNRJS33P;RNRJS33P;D4;D4_4:Rovinka-Pod.Biskupice;;15+698;P;SCHNEIDER; TM241CE40T
21;RNRJS34P;RNRJS34P;RNRJS34P;D4;D4_4:Rovinka-Pod.Biskupice;;16+363;P;SCHNEIDER; TM241CE40T
22;RNRJS35P;RNRJS35P;RNRJS35P;D4;D4_5:Pod.Biskupice-Ivanka západ;;16+960;P;SCHNEIDER; TM241CE40T
23;RNRJS36P;RNRJS36P;RNRJS36P;D4;D4_5:Pod.Biskupice-Ivanka západ;;17+520;P;SCHNEIDER; TM241CE40T
