item;alias;description;sessionuid;road;stretchs;pk;sentido
1;TUN-DALI-DER-1MA;TUN-DALI-DER-1MA;TUN-DALI-DER-1MA;Carretera Tunel;Carretera;;MA
2;TUN-DALI-IZQ-1MA;TUN-DALI-IZQ-1MA;TUN-DALI-IZQ-1MA;Carretera Tunel;Carretera;;CA
3;TUN-DALI-DER-2MA;TUN-DALI-DER-2MA;TUN-DALI-DER-2MA;Carretera Tunel;Carretera;;MA
4;TUN-DALI-IZQ-2MA;TUN-DALI-IZQ-2MA;TUN-DALI-IZQ-2MA;Carretera Tunel;Carretera;;MA
5;TUN-DALI-IZQ-3MA;TUN-DALI-IZQ-3MA;TUN-DALI-IZQ-3MA;Carretera Tunel;Carretera;;MA
6;TUN-DALI-IZQ-4CA;TUN-DALI-IZQ-4CA;TUN-DALI-IZQ-4CA;Carretera Tunel;Carretera;;CA
7;TUN-DALI-IZQ-3CA;TUN-DALI-IZQ-3CA;TUN-DALI-IZQ-3CA;Carretera Tunel;Carretera;;CA
8;TUN-DALI-DER-3MA;TUN-DALI-DER-3MA;TUN-DALI-DER-3MA;Carretera Tunel;Carretera;;MA
9;TUN-DALI-IZQ-2CA;TUN-DALI-IZQ-2CA;TUN-DALI-IZQ-2CA;Carretera Tunel;Carretera;;CA
10;TUN-DALI-DER-4MA;TUN-DALI-DER-4MA;TUN-DALI-DER-4MA;Carretera Tunel;Carretera;;MA
11;TUN-DALI-IZQ-4MA;TUN-DALI-IZQ-4MA;TUN-DALI-IZQ-4MA;Carretera Tunel;Carretera;;CA
12;TUN-DALI-IZQ-1CA;TUN-DALI-IZQ-1CA;TUN-DALI-IZQ-1CA;Carretera Tunel;Carretera;;CA
13;TUN-DALI-DER-1CA;TUN-DALI-DER-1CA;TUN-DALI-DER-1CA;Carretera Tunel;Carretera;;CA
14;TUN-DALI-DER-2CA;TUN-DALI-DER-2CA;TUN-DALI-DER-2CA;Carretera Tunel;Carretera;;CA
15;TUN-DALI-DER-3CA;TUN-DALI-DER-3CA;TUN-DALI-DER-3CA;Carretera Tunel;Carretera;;CA
16;TUN-DALI-DER-4CA;TUN-DALI-DER-4CA;TUN-DALI-DER-4CA;Carretera Tunel;Carretera;;CA
