item;alias;description;sessionuid;road;stretchs;pk;dm;secc
1;ICEO-AIM-001_AE;ICEO-AIM-001_AE;ICEO-AIM-001_AE;AVO;ICEO_EXT;1+12;1120;Secc.01-19-15
2;ICEP-AIM-001_AE;ICEP-AIM-001_AE;ICEP-AIM-001_AE;AVO;ICEP_EXT;0+125;125;Secc.01-09-15
3;IVEN-AIM-001_AE;IVEN-AIM-001_AE;IVEN-AIM-001_AE;AVO;IVEN_EXT;35+33;1970;Secc.01-09-15
4;IVEN-AIM-002_AE;IVEN-AIM-002_AE;IVEN-AIM-002_AE;AVO;IVEN_EXT;35+33;1970;Secc.01-09-15
5;S1TN-AIM-001_AE;S1TN-AIM-001_AE;S1TN-AIM-001_AE;AVO;S1TN_EXT;36+35;50;Secc.01-11-13
6;S1TN-AIM-002_AE;S1TN-AIM-002_AE;S1TN-AIM-002_AE;AVO;S1TN_EXT;38+75;2450;Secc.01-11-13
7;S1TN-AIM-003_AE;S1TN-AIM-003_AE;S1TN-AIM-003_AE;AVO;S1TN_EXT;38+465;2165;Secc.01-11-13
8;S1TN-AIM-004_AE;S1TN-AIM-004_AE;S1TN-AIM-004_AE;AVO;S1TN_EXT;37+725;1425;Secc.01-11-13
9;S1TN-AIM-005_AE;S1TN-AIM-005_AE;S1TN-AIM-005_AE;AVO;S1TN_EXT;37+085;785;Secc.01-11-13
10;S1TS-AIM-001_AE;S1TS-AIM-001_AE;S1TS-AIM-001_AE;AVO;IVEN_EXT;36+935;635;Secc.01-10-14
11;INKP-AIM-001_AE;INKP-AIM-001_AE;INKP-AIM-001_AE;AVO;INKP_EXT;0+283;283;Secc.02-29-04
12;IVIP-AIM-001_AE;IVIP-AIM-001_AE;IVIP-AIM-001_AE;AVO;IVIP_EXT;3+068;3068;Secc.02-16-04
13;IPRO-AIM-001_AE;IPRO-AIM-001_AE;IPRO-AIM-001_AE;AVO;IPRO_EXT;4+08;4080;Secc.03-57-10
14;ICCO-AIM-001_AE;ICCO-AIM-001_AE;ICCO-AIM-001_AE;AVO;ICCO_EXT;5+09;5090;Secc.03-258-09
15;ICCP-AIM-001_AE;ICCP-AIM-001_AE;ICCP-AIM-001_AE;AVO;ICCP_EXT;6+028;6028;Secc.02-256-07
16;IBTO-AIM-001_AE;IBTO-AIM-001_AE;IBTO-AIM-001_AE;AVO;IBTO_EXT;7+078;7078;Secc.03-255-08
