Parent_type;Child_type;Parent;Child;child_inheritable_state_id
51;3;2;34;3
51;3;2;35;3
51;3;2;36;3
51;3;2;37;3
51;3;2;38;3
51;3;2;39;3
51;3;2;40;3
51;3;2;41;3
51;3;3;42;3
51;3;3;43;3
51;3;4;44;3
51;3;4;45;3
51;3;4;46;3
51;3;5;47;3
51;3;5;48;3
51;3;6;49;3
51;3;6;50;3
51;3;7;51;3
51;3;7;52;3
51;3;8;53;3
51;3;8;54;3
51;3;9;55;3
51;3;9;56;3
51;3;9;57;3
51;3;9;58;3
51;3;9;59;3
51;3;9;60;3
51;3;9;61;3
51;3;9;62;3
51;3;10;63;3
51;3;10;64;3
51;3;10;65;3
51;3;10;66;3
51;3;10;67;3
51;3;10;68;3
51;3;10;69;3
51;3;10;70;3
51;3;11;71;3
51;3;11;72;3
51;3;12;73;3
51;3;12;74;3
51;3;13;75;3
51;3;13;76;3
51;3;14;77;3
51;3;14;78;3
51;3;15;79;3
51;3;15;80;3
51;3;15;81;3
51;3;15;82;3
51;3;15;83;3
51;3;15;84;3
51;3;15;85;3
51;3;15;86;3
51;3;16;87;3
51;3;16;88;3
51;3;16;89;3
51;3;16;90;3
51;3;16;91;3
51;3;16;92;3
51;3;16;93;3
51;3;16;94;3
51;3;17;95;3
51;3;17;96;3
51;3;18;97;3
51;3;18;98;3
51;3;19;99;3
51;3;19;100;3
51;3;20;101;3
51;3;20;102;3
51;3;21;103;3
51;3;21;104;3
51;3;22;105;3
51;3;22;106;3
51;3;23;107;3
51;3;23;108;3
51;3;24;109;3
51;3;24;110;3
51;3;25;111;3
51;3;25;112;3
51;3;25;113;3
51;3;26;114;3
51;3;26;115;3
51;3;27;116;3
51;3;27;117;3
51;3;27;118;3
51;3;27;119;3
51;3;27;120;3
51;3;27;121;3
51;3;27;122;3
51;3;27;123;3
51;3;28;124;3
51;3;28;125;3
51;3;28;126;3
51;3;28;127;3
51;3;28;128;3
51;3;29;129;3
51;3;29;130;3
51;3;29;131;3
51;3;29;132;3
51;3;29;133;3
51;3;29;134;3
51;3;29;135;3
51;3;30;136;3
51;3;30;137;3
51;3;30;138;3
51;3;31;139;3
51;3;31;140;3
51;3;31;141;3
51;3;31;142;3
51;3;32;143;3
51;3;32;144;3
51;3;33;145;3
51;3;33;146;3
51;3;33;147;3
51;3;34;148;3
51;3;34;149;3
51;3;34;150;3
51;3;35;151;3
51;3;35;152;3
51;3;35;153;3
51;3;36;154;3
51;3;36;155;3
51;3;37;156;3
51;3;37;157;3
51;3;38;158;3
51;3;38;159;3
51;3;39;160;3
51;3;39;161;3
51;3;40;162;3
51;3;40;163;3
51;3;40;164;3
7;51;2;2;
7;51;2;3;
7;51;2;4;
7;51;2;5;
7;51;2;6;
7;51;2;7;
7;51;2;8;
7;51;2;9;
7;51;2;10;
7;51;2;11;
7;51;2;12;
7;51;2;13;
7;51;2;14;
7;51;2;15;
7;51;2;16;
7;51;2;17;
7;51;2;18;
7;51;2;19;
7;51;2;20;
7;51;2;21;
7;51;2;22;
7;51;2;23;
7;51;2;24;
7;51;2;25;
7;51;2;26;
7;51;2;27;
7;51;2;28;
7;51;2;29;
7;51;2;30;
7;51;2;31;
7;51;2;32;
7;51;2;33;
7;51;2;34;
7;51;2;35;
7;51;2;36;
7;51;2;37;
7;51;2;38;
7;51;2;39;
7;51;2;40;
