item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param5_zone_id;param6_group_zones;dm;;
1;S1TS-ZMEG-00;S1TS-ZMEG-00;S1TS-ZMEG-00;AVO;S1TN_EXT;Secc.01-10-01;;;1;1;;;
2;S1TS-ZMEG-01;S1TS-ZMEG-01;S1TS-ZMEG-01;AVO;;Secc.01-10-01;;;2;[2;3;7;8]
3;SCNO-ZMEG-01;SCNO-ZMEG-01;SCNO-ZMEG-01;AVO;;Secc.01-25-01;;;3;[4;5];;
4;S1TS-ZMEG-02;S1TS-ZMEG-02;S1TS-ZMEG-02;AVO;;Secc.01-10-02;;;4;[11;12;9;10]
5;SAEB-ZMEG-01;SAEB-ZMEG-01;SAEB-ZMEG-01;AVO;;Secc.01-86-02;;;5;[4;5];;
6;S1TS-ZMEG-03;S1TS-ZMEG-03;S1TS-ZMEG-03;AVO;;Secc.01-10-03;;;6;[14;15];;
7;SIGO-ZMEG-01;SIGO-ZMEG-01;SIGO-ZMEG-01;AVO;;Secc.01-14-03;;;7;13;;;
8;S1TN-ZMEG-01;S1TN-ZMEG-01;S1TN-ZMEG-01;AVO;;Secc.01-11-12;;;8;[16;17];;
9;S2TN-ZMEG-05;S2TN-ZMEG-05;S2TN-ZMEG-05;AVO;;Secc.01-11-12;;;13;[20;21];;
10;SVIP-ZMEG-01;SVIP-ZMEG-01;SVIP-ZMEG-01;AVO;;Secc.03-15-12;;;12;19;;;
11;S2TN-ZMEG-04;S2TN-ZMEG-04;S2TN-ZMEG-04;AVO;;Secc.03-11-11;;;14;[22;23;35;36]
12;INKP-ZMEG-01;INKP-ZMEG-01;INKP-ZMEG-01;AVO;;Secc.03-42-11;;;15;[24;25];;
13;S2TS-ZMEG-01;S2TS-ZMEG-01;S2TS-ZMEG-01;AVO;;Secc.01-10-03;;;19;[27;29];;
14;S2TS-ZMEG-02;S2TS-ZMEG-02;S2TS-ZMEG-02;AVO;;Secc.02-10-04;;;20;[30;31;46;47]
15;IVIP-ZMEG-01;IVIP-ZMEG-01;IVIP-ZMEG-01;AVO;;Secc.02-16-04;;;21;28;;;
16;IVIP-ZMEG-02;IVIP-ZMEG-02;IVIP-ZMEG-02;AVO;;Secc.02-16-04;;;22;26;;;
17;INKP-ZMEG-02;INKP-ZMEG-02;INKP-ZMEG-02;AVO;;Secc.02-29-04;;;23;42;;;
18;ICNP-ZMEG-01;ICNP-ZMEG-01;ICNP-ZMEG-01;AVO;;Secc.02-47-04;;;24;[44;45];;
19;SMPN-ZMEG-01;SMPN-ZMEG-01;SMPN-ZMEG-01;AVO;;Secc.02-303-05;;;25;43;;;
20;S2TS-ZMEG-03;S2TS-ZMEG-03;S2TS-ZMEG-03;AVO;;Secc.02-10-05;;;26;[48;57;58];
21;S2TN-ZMEG-03;S2TN-ZMEG-03;S2TN-ZMEG-03;AVO;;Secc.03-11-10;;;17;[37;40;51;52]
22;SAPR-ZMEG-01;SAPR-ZMEG-01;SAPR-ZMEG-01;AVO;;Secc.03-253-10;;;11;41;;;
23;IPRO-ZMEG-01;IPRO-ZMEG-01;IPRO-ZMEG-01;AVO;;Secc.03-57-10;;;9;39;;;
24;IPRO-ZMEG-02;IPRO-ZMEG-02;IPRO-ZMEG-02;AVO;;Secc.03-57-10;;;27;38;;;
25;SMPS-ZMEG-01;SMPS-ZMEG-01;SMPS-ZMEG-01;AVO;;Secc.03-252-10;;;28;[49;50];;
26;S2TN-ZMEG-02;S2TN-ZMEG-02;S2TN-ZMEG-02;AVO;;Secc.03-11-09;;;29;[55;56;61;62]
27;ICCO-ZMEG-01;ICCO-ZMEG-01;ICCO-ZMEG-01;AVO;;Secc.03-258-09;;;30;53;;;
28;ICCO-ZMEG-02;ICCO-ZMEG-02;ICCO-ZMEG-02;AVO;;Secc.03-258-09;;;31;54;;;
29;S2TN-ZMEG-01;S2TN-ZMEG-01;S2TN-ZMEG-01;AVO;;Secc.03-11-08;;;32;[65;66;75;76]
30;IBTO-ZMEG-01;IBTO-ZMEG-01;IBTO-ZMEG-01;AVO;;Secc.03-255-08;;;33;;;;
31;IBTO-ZMEG-02;IBTO-ZMEG-02;IBTO-ZMEG-02;AVO;;Secc.03-255-08;;;34;[63;64];;
32;S2TS-ZMEG-04;S2TS-ZMEG-04;S2TS-ZMEG-04;AVO;;Secc.02-10-06;;;35;[59;60;69;70]
33;ICCP-ZMEG-01;ICCP-ZMEG-01;ICCP-ZMEG-01;AVO;;Secc.02-256-07;;;36;71;;;
34;ICCP-ZMEG-02;ICCP-ZMEG-02;ICCP-ZMEG-02;AVO;;Secc.02-256-07;;;37;68;;;
35;S2TS-ZMEG-05;S2TS-ZMEG-05;S2TS-ZMEG-05;AVO;;Secc.02-10-07;;;10;[72;73;78;79]
36;SBTP-ZMEG-01;SBTP-ZMEG-01;SBTP-ZMEG-01;AVO;;Secc.02-257-07;;;38;77;;;
37;SNKO-ZMEG-01;SNKO-ZMEG-01;SNKO-ZMEG-01;AVO;;Secc.03-30-11;;;16;[33;34];;
38;SICO-ZMEG-01;SICO-ZMEG-01;SICO-ZMEG-01;AVO;;Secc.02-260-06;;;40;67;;;
