element_type;element_subtype;alias;svg_file;js_custom_type_render;keepRatio
2;1;ANPR;02_camera.svg;;true
2;2;DAI;02_camera_domo.svg;;true
2;3;DOMO;02_camera_domo.svg;;true
2;4;CAM_SANCTIONING;02_camera_sanctioning2.svg;;true
25;;ELECTRICAL_CABINET;25_electrical_cabinet_plc_sol.svg;;true
52;;DAI_SERVER;52_dai_server.svg;;true
69;;RDIF;69_rdif.svg;;true
71;19;VMS;71_vms_dgt_gr_txt.svg;;true
95;;SYNC_SERVER;95_sync_server.svg;;true
