item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm;param2000_REGIMEN_0;param2001_REGIMEN_1;param2002_REGIMEN_2;param2003_REGIME_3;param2004_REGIMEN_4;param2005_REGIMEN_5
16;S2TS-SAM-CO-005;S2TS-SAM-CO-005;S2TS-SAM-CO-005;AVO;S2TS-ZON-023;Secc.02-10-05;41+89;;5590;0 ppm<=CO<20 ppm;20 ppm<=CO<35 ppm;35 ppm<=CO<80 ppm;80 ppm<=CO<140 ppm;140 ppm<=CO<=200 ppm;>200 ppm
17;S2TN-SAM-CO-007;S2TN-SAM-CO-007;S2TN-SAM-CO-007;AVO;S2TN-ZON-023;Secc.03-11-10;42+4;;6100;0 ppm<=CO<20 ppm;20 ppm<=CO<35 ppm;35 ppm<=CO<80 ppm;80 ppm<=CO<140 ppm;140 ppm<=CO<=200 ppm;>200 ppm
18;S2TS-SAM-CO-006;S2TS-SAM-CO-006;S2TS-SAM-CO-006;AVO;S2TS-ZON-028;Secc.02-10-05;42+43;;6130;0 ppm<=CO<20 ppm;20 ppm<=CO<35 ppm;35 ppm<=CO<80 ppm;80 ppm<=CO<140 ppm;140 ppm<=CO<=200 ppm;>200 ppm
19;S2TS-SAM-CO-007;S2TS-SAM-CO-007;S2TS-SAM-CO-007;AVO;S2TS-ZON-032;Secc.02-10-06;42+85;;6550;0 ppm<=CO<20 ppm;20 ppm<=CO<35 ppm;35 ppm<=CO<80 ppm;80 ppm<=CO<140 ppm;140 ppm<=CO<=200 ppm;>200 ppm
20;S2TN-SAM-CO-008;S2TN-SAM-CO-008;S2TN-SAM-CO-008;AVO;S2TN-ZON-014;Secc.03-11-09;43+25;;6950;0 ppm<=CO<20 ppm;20 ppm<=CO<35 ppm;35 ppm<=CO<80 ppm;80 ppm<=CO<140 ppm;140 ppm<=CO<=200 ppm;>200 ppm
21;S2TS-SAM-CO-008;S2TS-SAM-CO-008;S2TS-SAM-CO-008;AVO;S2TS-ZON-042;Secc.02-10-07;43+8;;7500;0 ppm<=CO<20 ppm;20 ppm<=CO<35 ppm;35 ppm<=CO<80 ppm;80 ppm<=CO<140 ppm;140 ppm<=CO<=200 ppm;>200 ppm
22;S2TN-SAM-CO-009;S2TN-SAM-CO-009;S2TN-SAM-CO-009;AVO;S2TN-ZON-009;Secc.03-11-09;43+89;;7590;0 ppm<=CO<20 ppm;20 ppm<=CO<35 ppm;35 ppm<=CO<80 ppm;80 ppm<=CO<140 ppm;140 ppm<=CO<=200 ppm;>200 ppm
23;S2TS-SAM-CO-009;S2TS-SAM-CO-009;S2TS-SAM-CO-009;AVO;S2TS-ZON-044;Secc.02-10-07;44+05;;7750;0 ppm<=CO<20 ppm;20 ppm<=CO<35 ppm;35 ppm<=CO<80 ppm;80 ppm<=CO<140 ppm;140 ppm<=CO<=200 ppm;>200 ppm
24;S2TN-SAM-CO-010;S2TN-SAM-CO-010;S2TN-SAM-CO-010;AVO;S2TN-ZON-003;Secc.03-11-08;44+35;;8050;0 ppm<=CO<20 ppm;20 ppm<=CO<35 ppm;35 ppm<=CO<80 ppm;80 ppm<=CO<140 ppm;140 ppm<=CO<=200 ppm;>200 ppm
25;S2TS-SAM-CO-010;S2TS-SAM-CO-010;S2TS-SAM-CO-010;AVO;S2TS-ZON-047;Secc.02-10-07;44+35;;8050;0 ppm<=CO<20 ppm;20 ppm<=CO<35 ppm;35 ppm<=CO<80 ppm;80 ppm<=CO<140 ppm;140 ppm<=CO<=200 ppm;>200 ppm
