item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure
1;ZI-1-01-DP;ZI-1-01-DP;ZI-1-01-DP;Autovía A-4;Despeñaperros;248548;NA;
2;ZI-1-02-DP;ZI-1-02-DP;ZI-1-02-DP;Autovía A-4;Despeñaperros;248448;NA;
3;ZI-1-03-DP;ZI-1-03-DP;ZI-1-03-DP;Autovía A-4;Despeñaperros;248352;NA;
4;ZI-1-04-DP;ZI-1-04-DP;ZI-1-04-DP;Autovía A-4;Despeñaperros;248252;NA;
5;ZI-1-05-DP;ZI-1-05-DP;ZI-1-05-DP;Autovía A-4;Despeñaperros;248148;NA;
6;ZI-1-06-DP;ZI-1-06-DP;ZI-1-06-DP;Autovía A-4;Despeñaperros;248044;NA;
7;ZI-1-07-DP;ZI-1-07-DP;ZI-1-07-DP;Autovía A-4;Despeñaperros;247948;NA;
8;ZI-1-08-DP;ZI-1-08-DP;ZI-1-08-DP;Autovía A-4;Despeñaperros;247852;NA;
9;ZI-1-09-DP;ZI-1-09-DP;ZI-1-09-DP;Autovía A-4;Despeñaperros;247756;NA;
10;ZI-1-10-DP;ZI-1-10-DP;ZI-1-10-DP;Autovía A-4;Despeñaperros;247652;NA;
11;ZI-1-11-DP;ZI-1-11-DP;ZI-1-11-DP;Autovía A-4;Despeñaperros;247548;NA;
12;ZI-1-12-DP;ZI-1-12-DP;ZI-1-12-DP;Autovía A-4;Despeñaperros;247452;NA;
13;ZI-1-13-DP;ZI-1-13-DP;ZI-1-13-DP;Autovía A-4;Despeñaperros;247352;NA;
14;ZI-1-14-DP;ZI-1-14-DP;ZI-1-14-DP;Autovía A-4;Despeñaperros;247252;NA;
15;ZI-1-15-DP;ZI-1-15-DP;ZI-1-15-DP;Autovía A-4;Despeñaperros;247152;NA;
16;ZI-1-16-DP;ZI-1-16-DP;ZI-1-16-DP;Autovía A-4;Despeñaperros;247052;NA;
17;ZI-1-17-DP;ZI-1-17-DP;ZI-1-17-DP;Autovía A-4;Despeñaperros;246952;NA;
18;ZI-1-18-DP;ZI-1-18-DP;ZI-1-18-DP;Autovía A-4;Despeñaperros;246852;NA;
19;ZI-1-19-DP;ZI-1-19-DP;ZI-1-19-DP;Autovía A-4;Despeñaperros;246752;NA;
20;ZI-2-01-DP;ZI-2-01-DP;ZI-2-01-DP;Autovía A-4;Despeñaperros;246710;NA;
21;ZI-2-02-DP;ZI-2-02-DP;ZI-2-02-DP;Autovía A-4;Despeñaperros;246802;NA;
22;ZI-2-03-DP;ZI-2-03-DP;ZI-2-03-DP;Autovía A-4;Despeñaperros;246902;NA;
23;ZI-2-04-DP;ZI-2-04-DP;ZI-2-04-DP;Autovía A-4;Despeñaperros;247002;NA;
24;ZI-2-05-DP;ZI-2-05-DP;ZI-2-05-DP;Autovía A-4;Despeñaperros;247102;NA;
25;ZI-2-06-DP;ZI-2-06-DP;ZI-2-06-DP;Autovía A-4;Despeñaperros;247202;NA;
26;ZI-2-07-DP;ZI-2-07-DP;ZI-2-07-DP;Autovía A-4;Despeñaperros;247302;NA;
27;ZI-2-08-DP;ZI-2-08-DP;ZI-2-08-DP;Autovía A-4;Despeñaperros;247402;NA;
28;ZI-2-09-DP;ZI-2-09-DP;ZI-2-09-DP;Autovía A-4;Despeñaperros;247502;NA;
29;ZI-2-10-DP;ZI-2-10-DP;ZI-2-10-DP;Autovía A-4;Despeñaperros;247602;NA;
30;ZI-2-11-DP;ZI-2-11-DP;ZI-2-11-DP;Autovía A-4;Despeñaperros;247702;NA;
31;ZI-2-12-DP;ZI-2-12-DP;ZI-2-12-DP;Autovía A-4;Despeñaperros;247794;NA;
32;ZI-2-13-DP;ZI-2-13-DP;ZI-2-13-DP;Autovía A-4;Despeñaperros;247890;NA;
33;ZI-2-14-DP;ZI-2-14-DP;ZI-2-14-DP;Autovía A-4;Despeñaperros;247986;NA;
34;ZI-2-15-DP;ZI-2-15-DP;ZI-2-15-DP;Autovía A-4;Despeñaperros;248086;NA;
35;ZI-2-16-DP;ZI-2-16-DP;ZI-2-16-DP;Autovía A-4;Despeñaperros;248190;NA;
36;ZI-2-17-DP;ZI-2-17-DP;ZI-2-17-DP;Autovía A-4;Despeñaperros;248290;NA;
37;ZI-2-18-DP;ZI-2-18-DP;ZI-2-18-DP;Autovía A-4;Despeñaperros;248390;NA;
38;ZI-2-19-DP;ZI-2-19-DP;ZI-2-19-DP;Autovía A-4;Despeñaperros;248498;NA;
39;ZI-1-01-CA;ZI-1-01-CA;ZI-1-01-CA;Autovía A-4;La Cantera;249318;NA;
40;ZI-1-02-CA;ZI-1-02-CA;ZI-1-02-CA;Autovía A-4;La Cantera;249234;NA;
41;ZI-1-03-CA;ZI-1-03-CA;ZI-1-03-CA;Autovía A-4;La Cantera;249150;NA;
43;ZI-2-01-CA;ZI-2-01-CA;ZI-2-01-CA;Autovía A-4;La Cantera;249190;NA;
44;ZI-2-02-CA;ZI-2-02-CA;ZI-2-02-CA;Autovía A-4;La Cantera;249278;NA;
